Title	Original Title	Type	Release year	Rating	Watch date	Comments	
Lemon Popsicle 7		Film	1987	2	02/12/2020		
Summertime Blues: Lemon Popsicle VIII		Film	1988	2	03/12/2020		
Lemon Popsicle 9: The Party Goes On		Film	2001	2	04/12/2020		
Scooby-Doo		Film	2002	3	05/12/2020		
Scooby-Doo 2: Monsters Unleashed		Film	2004	3	29/01/2021		
The Mask of Zorro		Film	1998	2	29/01/2021		
The Break-Up		Film	2006	2	30/01/2021		
Run, Fat Boy, Run		Film	2007	3	31/01/2021		
Just Like Heaven		Film	2005	3	31/01/2021		
Saving Private Ryan		Film	1998	2	31/01/2021		
Lone Survivor		Film	2013	3	01/02/2021		
Spenser Confidential		Film	2020	3	02/02/2021		
Mile 22		Film	2018	2	02/02/2021		
Patriots Day		Film	2016	3	02/02/2021		
Deepwater Horizon		Film	2013	3	02/02/2021		
Holes		Film	2003	2	03/02/2021		
Made in Britain		TV Movie	1982	3	03/02/2021		
The Day After Tomorrow		Film	2004	2	04/02/2021		
Dante's Peak		Film	1997	4	04/02/2021		
Thunder and the House of Magic		Film	2013	2	05/02/2021		
Oy Vey! My Son Is Gay!!		Film	2010	2	05/02/2021		
Big Mommas: Like Father, Like Son		Film	2011	2	06/02/2021		
Big Momma's House 2		Film	2006	2	06/02/2021		
Big Momma's House		Film	2000	2	06/02/2021		
Practical Magic		Film	1998	2	06/02/2021		
Hidden	Caché	Film	2005	1	07/02/2021		
Network		Film	1976	2	07/02/2021		
The Angry Birds Movie 2		Film	2019	2	08/02/2021		
Show Dogs		Film	2018	2	08/02/2021		
Capharnaüm		Film	2018	2	08/02/2021		
Angry Birds		Film	2016	2	08/02/2021		
Borstal Boy		Film	2000	4	08/02/2021	best gay love story	
The Rocketeer		Film	1991	3	08/02/2021		
Into the Wild		Film	2007	2	11/02/2021		
Ladder 49		Film	2004	1	11/02/2021		
The Hours		Film	2002	2	11/02/2021		
Citizen Kane		Film	1941	2	11/02/2021		
The Hangover Part II		Film	2011	3	12/02/2021		
The Hangover		Film	2009	4	12/02/2021		
Alucarda		Film	1977	1	12/02/2021		
The Hangover Part III		Film	2013	3	13/02/2021		
Paul		Film	2011	2	13/02/2021		
Fireproof		Film	2008	1	13/02/2021	very low budget, bad scripting	
Beach Rats		Film	2017	2	14/02/2021		
Housebound		Film	2014	3	14/02/2021		
Polytechnique		Film	2009	2	14/02/2021		
Barefoor Gen 2	Hadashi no Gen 2	Anime Film	1986	3	16/02/2021		
Barefoot Gen	Hadashi no Gen	Anime Film	1983	3	16/02/2021		
Sicario: Day of the Soldado		Film	2018	2	17/02/2021		
Sicario		Film	2015	2	17/02/2021		
Juno		Film	2007	1	18/02/2021		
Alfie		Film	2004	2	18/02/2021		
Nobody Knows	Dare mo shiranai	Film	2004	3	18/02/2021		
Dead End		Film	2003	2	18/02/2021		
Maudie		Film	2016	3	19/02/2021		
Tangled Ever After		Short	2012	2	21/02/2021		
A Monster Calls	Un Monstruo Viene a Verme	Film	2016	2	22/02/2021		
Lars and the Real Girl		Film	2007	3	22/02/2021		
Mars Attacks!		Film	1996	3	23/02/2021		
Knife + Heart	Un couteau le coeur	Film	2018	1	24/02/2021		
The 5th Wave		Film	2016	1	24/02/2021		
Sky High		Film	2005	2	24/02/2021		
Untamed Heart		Film	1993	2	24/02/2021		
Instant Family		Film	2018	3	25/02/2021		
Saturday Night Fever		Film	1977	2	26/02/2021		
West Side Story		Film	1961	2	26/02/2021		
Raw	Grave	Film	2016	2	27/02/2021		
Monster House		Film	2006	3	27/02/2021		
Chicken Little		Film	2005	2	27/02/2021		
Garfield		Film	2004	2	27/02/2021		
Bad Boys for Life		Film	2020	2	28/02/2021		
Garfield: A Tail of Two Kitties		Film	2006	2	28/02/2021		
Reality Bites		Film	1994	2	01/03/2021		
Lolita		Film	1962	2	02/03/2021		
Lolita		Film	1997	3	04/03/2021		
The Time Machine		Film	2002	2	05/03/2021		
Shadow Dancer		Film	2012	2	07/03/2021		
Monsters vs. Aliens		Film	2009	2	07/03/2021		
Let the Right One In	Låt den rätte komma in	Film	2008	1	07/03/2021		
Die Hard		Film	1988	3	07/03/2021		
The Quiet Earth		Film	1985	3	07/03/2021		
Die Hard with a Vengeance		Film	1995	3	08/03/2021		
Die Hard 2		Film	1990	2	08/03/2021		
Live Free or Die Hard		Film	2007	2	09/03/2021		
Sahara		Film	2017	2	10/03/2021		
A good Day to Die Hard		Film	2013	2	10/03/2021		
Antz		Film	1998	3	10/03/2021		
Tomorrow, When the War Began		Film	2010	1	11/03/2021		
The Book of Eli		Film	2010	1	11/03/2021		
Match Point		Film	2005	3	11/03/2021		
After Life	Wandafuru raifu	Film	1998	2	11/03/2021		
The Drone		Film	2019	2	12/03/2021		
Slumdog Millionaire		Film	2008	3	12/03/2021		
There's Something About Mary		Film	1998	2	12/03/2021		
The Third Murder	Sandome no satsujin	Film	2017	2	13/03/2021		
Think Like a Man Too		Film	2014	2	13/03/2021		
Think Like a Man		Film	2012	2	13/03/2021		
Hana	Hana yori mo naho	Film	2006	2	13/03/2021		
The Miseducation of Cameron Post		Film	2018	2	14/03/2021		
Redirected		Film	2014	1	14/03/2021		
Order of Chaos		Film	2010	1	14/03/2021		
Gardield's Pet Force		Video	2009	1	15/03/2021		
Garfield's Fun Fest		Video	2008	1	15/03/2021		
City of Ember		Film	2008	2	15/03/2021		
Garfield Gets Real		Video	2007	1	15/03/2021		
Stuart Little 3: Call of the Wild		Video	2005	2	15/03/2021		
Stuart Little 2		Film	2002	2	15/03/2021		
Stuart Little		Film	1999	2	15/03/2021		
Bad Boys II		Film	2003	2	17/03/2021		
Bad Boys		Film	1995	2	17/03/2021		
Surf's Up 2: WaveMania		Video	2017	2	18/03/2021		
Surf's Up		Film	2007	2	18/03/2021		
Inspector Gadget 2		Video	2003	1	18/03/2021		
Inspector Gadget		Film	1999	2	18/03/2021		
Jeepers Creepers 3		Film	2017	2	19/03/2021		
Jeepers Creepers 2		Film	2003	2	19/03/2021		
Jeepers Creepers		Film	2001	3	19/03/2021		
Minority Report		Film	2002	1	21/03/2021		
Friday		Film	1995	1	21/03/2021		
Child's Play		Film	1988	3	22/03/2021		
Seed of Chucky		Film	2004	3	23/03/2021		
Bride of Chucky		Film	1998	3	23/03/2021		
Child's Play 3		Film	1991	2	23/03/2021		
Child's Play 2		Film	1990	2	23/03/2021		
Curse of Chucky		Film	2013	3	24/03/2021		
Child's Play		Film	2019	2	25/03/2021		
Cult of Chucky		Film	2017	4	25/03/2021		
Wait Until Dark		Film	1967	3	25/03/2021		
American Hustle		Film	2013	1	26/03/2021		
Before Sunrise		Film	1995	3	26/03/2021		
Before Midnight		Film	2013	1	27/03/2021		
The Strangers		Film	2008	2	27/03/2021		
Before Sunset		Film	2004	1	27/03/2021		
The Nutty Professor II: The Klumps		Film	2000	2	27/03/2021		
The Nutty Professor		Film	1996	2	27/03/2021		
Maborosi	Maboroshi no hikari	Film	1995	1	29/03/2021		
Seven Samurai	Shichinin no samurai	Film	1954	4	29/03/2021		
First Knight		Film	1995	3	30/03/2021		
DragonHeart		Film	1996	2	31/03/2021		
Excalibur		Film	1981	2	31/03/2021		
Monty Python and the Holy Grail		Film	1975	3	31/03/2021		
Merlin		TV Movie	1998	2	05/04/2021		
The Court Jester		Film	1955	2	07/04/2021		
Hold the Dark		Film	2018	1	08/04/2021		
Ruby Sparks		Film	2012	2	09/04/2021		
Four Lions		Film	2010	1	09/04/2021		
Radioland Murders		Film	1994	2	09/04/2021		
Life of Pi		Film	2012	3	10/04/2021		
A Cinderella Story		Film	2004	2	10/04/2021		
Scars of Dracula		Film	1970	2	10/04/2021		
Annie Hall		Film	1977	2	11/04/2021		
Johan Hes		Film	2010	2	12/04/2021		
Green Lantern		Film	2011	1	15/04/2021		
Wonder Woman		Film	2017	2	18/04/2021		
Zack Snyder's Justice League		Film	2021	2	19/04/2021		
Wonder Woman 1984		Film	2020	2	19/04/2021		
Justice League		Film	2017	1	19/04/2021		
The Babadook		Film	2014	2	21/04/2021		
Mulan		Film	2020	1	26/04/2021		
365 Days 365 Dni		Film	2020	1	26/04/2021		
American Pie Presents: Girls' Rules		Video	2020	1	26/04/2021		
Swallow		Film	2019	1	26/04/2021		
The Curse of La Llorona		Film	2019	2	26/04/2021		
12 Angry Men		Film	1957	3	28/04/2021		
Coma		Film	2019	1	29/04/2021		
The Professor		Film	2018	2	29/04/2021		
The Vanished		Film	2020	3	30/04/2021		
Monsters of Man		Film	2020	3	01/05/2021		
A Fall from Grace		Film	2020	4	02/05/2021		
The Conjuring 2		Film	2016	2	03/05/2021		
Annabelle		Film	2014	1	03/05/2021		
The Conjuring		Film	2013	2	03/05/2021		
Annabelle: Creation		Film	2017	2	04/05/2021		
Annabelle Comes Home		Film	2019	2	05/05/2021		
The Nun		Film	2018	2	05/05/2021		
The Company of Wolves		Film	1984	2	06/05/2021		
The Foreigner		Film	2017	3	07/05/2021		
People's Republic of Desire		Film	2018	2	09/05/2021		
Like Father, Like Son	Soshite chichi ni naru	Film	2013	3	11/05/2021		
The Truman Show		Film	1998	2	13/05/2021		
City Rats		Film	2009	2	15/05/2021		
Astro Boy		Film	2009	3	16/05/2021		
Only the Brave		Film	2017	2	17/05/2021		
The Farewell		Film	2019	3	18/05/2021		
Cry Wolf		Film	2005	2	18/05/2021		
Reservoir Dogs		Film	1992	2	18/05/2021		
Macbeth		Film	1948	2	18/05/2021		
World War Z		Film	2013	2	19/05/2021		
The Name of the Rose		Film	1986	3	22/05/2021	Domenico	
The Witches of Eastwick		Film	1987	2	24/05/2021		
Duck, You Sucker!		Film	1971	2	24/05/2021		
A Knight's Tale'		Film	2001	2	29/05/2021		
Pirates of the Caribbean: Dead Men Tell No Tales		Film	2017	2	30/05/2021		
Stewie Griffin: The Untold Story		Film	2005	2	27/07/2021		
Army of the Dead		Film	2021	1	29/07/2021		
Cruella		Film	2021	3	29/07/2021		
A Quiet Place Part II		Film	2021	3	29/07/2021		
Spiral		Film	2021	2	30/07/2021		
Space Jam		Film	1996	1	30/07/2021		
The Great Beauty		Film	2013	2	31/07/2021		
Judex		Film	1963	3	31/07/2021		
Tokyo Godfathers	Tôkyô goddofâzâzu	Anime Film	2003	2	01/08/2021		
Me and Earl and the Dying Girl		Film	2015	1	03/08/2021		
The Tale of Desperaux		Film	2008	2	04/08/2021		
Phenomenon		Film	1996	2	04/08/2021		
Johnny English Strikes Again		Film	2018	1	05/08/2021		
Hector and the Search for Happiness		Film	2014	1	05/08/2021		
Johnny English Reborn		Film	2011	1	05/08/2021		
Johnny English		Film	2003	1	05/08/2021		
Dog Pound		Film	2010	3	07/08/2021		
Bif Fish & Begonia	Da yu hai tang	Anime Film	2016	3	08/08/2021		
My Neighbor Totoro	Tonari no Totoro	Anime Film	1988	2	09/08/2021		
The Death of Stalin		Film	2017	2	16/08/2021		
Manhattan		Film	1979	1	18/08/2021		
The Last Song		Film	2010	2	19/08/2021		
Factory Girl		Film	2006	2	19/08/2021		
13 Hours		Film	2016	1	22/08/2021		
Derailed		Film	2005	3	23/08/2021		
100% Wolf		Film	2020	2	24/08/2021		
A Moment in the Reeds		Film	2017	1	25/08/2021		
Run		Film	2020	2	02/09/2021		
Pig		Film	2021	1	13/09/2021		
The Suicide Squad		Film	2021	3	13/09/2021		
Stand by Me		Film	1986	3	14/09/2021		
Space Jam: A New Legacy		Film	2021	2	15/09/2021		
In Love and War		Film	1996	2	16/09/2021		
Love and Death		Film	1975	2	19/09/2021		
Persepolis		Film	2007	4	21/09/2021		
Who's Afraid of Virginia Woolf?		Film	1966	3	23/09/2021		
Promising Young Woman		Film	2020	4	24/09/2021		
Jungle Cruise		Film	2021	1	26/09/2021		
Get Hard		Film	2015	2	27/09/2021		
Manhattan Murder Mystery		Film	1993	3	27/09/2021		
Once Upon a Time in Hollywood		Film	2019	1	28/09/2021		
The Truth		Film	2019	2	28/09/2021		
The Irishman		Film	2019	4	02/10/2021		
Princess Mononoke		Film	1997	2	05/10/2021		
Ginger Snaps		Film	2000	2	06/10/2021		
The Pianist		Film	2002	4	07/10/2021		
Still Walking	Aruitemo aruitemo	Film	2008	2	11/10/2021		
Coriolanus		Film	2011	1	12/10/2021		
Air Doll	Kûki ningyô	Film	2009	4	12/10/2021		
Our Little Sister	Umimachi Diary	Film	2015	3	14/10/2021		
I Wish	Kiseki	Film	2011	3	14/10/2021		
After the Storm	Umi yori mo mada fukaku	Film	2016	2	16/10/2021		
The Black Godfather		Film	2019	1	18/10/2021		
Shoplifters	Manbiki kazoku	Film	2018	2	18/10/2021		
Awake		Film	2021	2	28/10/2021		
Dune		Film	2021	2	29/10/2021		
I Am Mother		Film	2019	3	29/10/2021		
The Tomorrow War		Film	2021	2	11/11/2021		
Free Guy		Film	2021	3	11/11/2021		
Ginger Snaps 2: Unleashed		Film	2004	3	12/11/2021		
Duplex		Film	2003	2	12/11/2021		
The Platform	El hoyo	Film	2019	2	13/11/2021		
Tucker and Dale vs Evil		Film	2010	2	14/11/2021		
Ginger Snaps Back: The Beginning		Film	2004	2	14/11/2021		
An Officer and a Spy	J'Accuse	Film	2019	3	15/11/2021		
Based on a True Story	D'après une histoire vraie	Film	2017	2	16/11/2021		
Venus in Fur	La Vénus à la fourrure	Film	2013	2	17/11/2021		
The Ghost Writer		Film	2010	3	17/11/2021		
Oliver Twist		Film	2005	3	17/11/2021		
The Ninth Gate		Film	1999	2	17/11/2021		
Death and the Maiden		Film	1994	3	18/11/2021		
Bitter Moon		Film	1992	3	19/11/2021		
Frantic		Film	1988	3	19/11/2021		
Pirates		Film	1986	3	21/11/2021		
Tess		Film	1979	3	21/11/2021		
The Tenant		Film	1976	2	25/11/2021		
Escape Room: Tournament of Champions		Film	2021	3	26/11/2021		
Chinatown		Film	1974	3	26/11/2021		
Containment		Film	2015	3	27/11/2021		
Bad Lieutenant		Film	1992	1	29/11/2021		
Dune		Film	1984	1	30/11/2021		
Jodorowsky's Dune		Film	2013	1	01/12/2021		
Young Frankenstein		Film	1974	3	01/12/2021		
History of the World, Part I		Film	1981	3	02/12/2021		
The Producers		Film	1967	2	02/12/2021		
The Twelve Chairs		Film	1970	2	04/12/2021		
Life Stinks		Film	1991	3	05/12/2021		
Silent Movie		Film	1976	1	05/12/2021		
Blazing Saddles		Film	1973	1	05/12/2021		
Dracula: Dead and Loving It		Film	1995	3	06/12/2021		
Robin Hood: Men in Tights		Film	1993	3	06/12/2021		
To Be or Not to Be		Film	1983	4	08/12/2021		
The Elephant Man		Film	1980	4	08/12/2021		
84 Charing Cross Road		Film	1970	2	09/12/2021		
The Producers		Film	2005	1	10/12/2021		
Office Space		Film	1999	2	10/12/2021		
Planes, Trains and Automobiles		Film	1987	3	10/12/2021		
Van Wilder		Film	2002	2	11/12/2021		
Galaxy Quest		Film	1999	3	13/12/2021		
My Cousing Vinny		Film	1992	3	13/12/2021		
Vertigo		Film	1958	3	14/12/2021		
Riddick		Film	2013	2	15/12/2021		
The Chronicles of Riddick		Film	2004	2	15/12/2021		
Pitch Black		Film	2000	2	15/12/2021		
Beyond Re-Animator		Film	2003	2	16/12/2021		
Bride of Re-Animator		Film	1990	2	16/12/2021		
Re-Animator		Film	1985	2	16/12/2021		
Cube Zero		Film	2004	3	17/12/2021		
Cube 2: Hypercube		Film	2002	3	17/12/2021		
Cube		Film	1997	3	17/12/2021		
The Blob		Film	1958	2	19/12/2021		
The Blob		Film	1988	3	20/12/2021	Great special effects	
Beware! The Blob		Film	1972	2	20/12/2021		
Made of Honor		Film	2008	2	25/12/2021		
Hook		Film	1991	3	25/12/2021		
August Without Him	Kare no inai hachigatsu ga	Film	1994	3	26/12/2021		
High Anxiety		Film	1977	3	26/12/2021		
What's Up, Doc?		Film	1972	3	26/12/2021		
Clifford the Big Red Dog		Film	2021	2	28/12/2021		
Resident Evil: Welcome to Raccoon City		Film	2021	1	02/01/2022		
Ron's Gone Wrong		Film	2021	2	02/01/2022		
Rosemary's Baby		Film	1968	3	03/01/2022		
Shang-Chi and the Legend of the Ten Rings		Film	2021	1	05/01/2022		
The Professor and the Madman		Film	2019	2	08/01/2022		
Hachi: A Dog's Tale		Film	2009	2	08/01/2022		
Hachi-ko	Hachikô monogatari	Film	1987	2	08/01/2022		
Distance		Film	2001	1	10/01/2022		
Sleepless in Seattle		Film	1993	2	13/01/2022		
Titus		Film	1999	1	18/01/2022		
Hot Shots! Part Deux		Film	1993	2	18/01/2022		
Hot Shots!		Film	1991	2	18/01/2022		
Richard III		Film	1995	2	19/01/2022		
Slums of Beverly Hills		Film	1998	3	20/01/2022		
Weird Science		Film	1985	3	20/01/2022		
Celest and Jesse Forever		Film	2012	2	24/01/2022		
The Bling Ring		Film	2013	3	26/01/2022		
Bonnie and Clyde		Film	1967	3	29/01/2022		
Murder Mystery		Film	2019	2	30/01/2022		
How to Lose Friends & Alienate People		Film	2008	3	01/02/2022		
Cuban Fury		Film	2014	3	03/02/2022		
Fever Pitch		Film	2005	3	03/02/2022		
After Earth		Film	2013	2	08/02/2022		
Klaus		Film	2019	4	09/02/2022		
Definitely, Maybe		Film	2008	2	12/02/2022		
The Girl Who Leapt Through Time	Toki o kakeru shôjo	Film	2006	3	12/02/2022		
Heat		Film	1995	3	16/02/2022		
Rebel Without a Cause		Film	1955	3	17/02/2022		
Notting Hill		Film	1999	1	18/02/2022		
The Lost Boys		Film	1987	2	18/02/2022		
The Big Sick		Film	2017	3	20/02/2022		
Detour		Film	2016	4	21/02/2022		
Sucker Punch		Film	2011	2	21/02/2022		
Asterix & Obelix: Mission Cleopatra		Film	2002	4	21/02/2022		
Destination Wedding		Film	2018	1	22/02/2022		
Hairspray		Film	2007	3	23/02/2022		
Diana: In Her Own Words		TV Movie	2017	2	24/02/2022		
Who Am I		Film	2014	3	24/02/2022		
Backdraft		Film	1991	2	24/02/2022		
Hush		Film	2016	3	25/02/2022		
The Kings of Summer		Film	2013	3	26/02/2022		
Killer Bean Forever		Film	2008	2	26/02/2022		
Harold and Maude		Film	1971	3	27/02/2022		
Pineapple Express		Film	2008	2	28/02/2022		
Life or Something Like It		Film	2002	1	01/03/2022		
The Polar Express		Film	2004	3	04/03/2022		
The Mummy		Film	1999	3	05/03/2022		
The Mummy: Tomb of the Dragon Emperor		Film	2008	1	06/03/2022		
The Mummy Returns		Film	2001	2	06/03/2022		
The Mummy		Film	2017	1	07/03/2022		
Accidental Love		Film	2015	1	07/03/2022		
The Intervention		Film	2016	3	08/03/2022		
The Fox and the Hound		Film	1981	3	08/03/2022		
American Assassin		Film	2017	3	09/03/2022		
Guess Who's Coming to Dinner		Film	1967	4	10/03/2022		
Cube		Film	2021	2	11/03/2022		
Scream		Film	2022	2	14/03/2022		
The King's Man		Film	2021	1	14/03/2022		
Ghostbusters: Afterlife		Film	2021	1	15/03/2022		
Death on the Nile		Film	1978	2	17/03/2022		
Millennium Actress	Sennen Joyū	Anime Film	2001	2	18/03/2022		
The Ice Age Adventures of Buck Wild		Film	2022	1	21/03/2022		
The Tinder Swindler		Film	2022	3	21/03/2022		
Sing 2		Film	2021	3	21/03/2022		
Eternals		Film	2021	2	22/03/2022		
No Time to Die		Film	2021	2	26/03/2022		
The Gods Must Be Crazy		Film	1980	2	28/03/2022		
The Gods Must Be Crazy II		Film	1989	2	01/04/2022		
Crazy Safari (The Gods Must Be Crazy III)		Film	1991	1	02/04/2022		
The Day After		TV Movie	1983	2	02/04/2022		
Crazy Hong Kong (The Gods Must Be Crazy IV)		Film	1993	2	03/04/2022		
Jackass Forever		Film	2022	3	05/04/2022		
Wolf		Film	1994	3	05/04/2022		
Death of the Nile		Film	2022	2	11/04/2022		
The Adam Project		Film	2022	2	12/04/2022		
The Bubble		Film	2022	1	13/04/2022		
Rock Dog 2		Film	2021	1	15/04/2022		
Ship of Fools		Film	1965	2	16/04/2022		
Inherit the Wind		Film	1960	2	17/04/2022		
Not as a Stranger		Film	1955	2	18/04/2022		
The Caine Mutiny		Film	1954	3	18/04/2022		
The Banishing		Film	2020	2	19/04/2022		
Black Death		Film	2010	3	19/04/2022		
Smallfoot		Film	2018	3	20/04/2022		
Severance		Film	2006	2	20/04/2022		
Creep		Film	2004	3	20/04/2022		
Romancing the Stone		Film	1984	3	20/04/2022		
The War of the Roses		Film	1989	3	21/04/2022		
The Jewel of the Nile		Film	1985	4	21/04/2022	sequel to Romancing the Stone	
He Was Cool (The Guy Was Cool)		Film	2004	2	22/04/2022		
Used Cars		Film	1980	2	22/04/2022		
1941		Film	1979	2	23/04/2022		
I Wanna Hold Your Hand		Film	1978	1	24/04/2022		
Bordello of Blood		Film	1996	3	25/04/2022		
Trespass		Film	1992	3	25/04/2022		
Beowulf		Film	2007	3	26/04/2022		
A Christmas Carol		Film	2009	2	28/04/2022		
Allied		Film	2016	3	29/04/2022		
Flight		Film	2012	3	29/04/2022		
Welcome to Marwen		Film	2018	2	30/04/2022		
The Batman		Film	2022	2	01/05/2022		
Bloody Sunday		Film	2002	2	03/05/2022		
The Theory of Flight		Film	1998	2	03/05/2022		
United 93		Film	2006	2	05/05/2022		
News of the World		Film	2020	2	07/05/2022		
Green Zone		Film	2010	2	07/05/2022		
Miracle: Letters to the President	Gi-Jik	Film	2021	2	08/05/2022		
Late Spring	Banshun	Film	1949	2	08/05/2022		
Harakiri	Seppuku	Film	1962	2	09/05/2022		
Evening		Film	2007	2	11/05/2022		
The Accountant		Film	2016	2	12/05/2022		
The Taste of Tea	Cha no aji	Film	2004	3	13/05/2022		
Dirty Grandpa		Film	2016	3	15/05/2022		
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan		Film	2006	2	16/05/2022		
Survive Style 5+		Film	2004	2	17/05/2022		
Sonatine 		Film	1993	2	18/05/2022		
Violent Cop	Sono otoko, kyôbô ni tsuki	Film	1989	4	19/05/2022		
Postman Blues	Posutoman burûsu	Film	1997	3	19/05/2022		
The Wind Rises	Kaze tachinu	Film	2013	1	19/05/2022		
Why Don't You Play in Hell?	Jigoku de naze warui	Film	2013	2	21/05/2022		
Outrage	Autoreiji	Film	2010	3	22/05/2022		
Blue Gate Crossing	Lan se da men	Film	2002	2	24/05/2022		
Blind Shaft	Mang jing	Film	2003	3	24/05/2022		
Yellow Earth	Huang tu di	Film	1984	2	25/05/2022		
Super Dark Times		Film	2017	2	26/05/2022		
Three Times	Zui hao de shi guang	Film	2005	2	26/05/2022		
Still Life	San xia hao ren	Film	2006	2	26/05/2022		
Summer Palace	Yi He Yuan	Film	2006	2	27/05/2022		
The Grandmaster	Yi dai zong shi	Film	2013	1	29/05/2022		
In the Heat of the Sun	Yang guang can lan de ri zi	Film	1996	4	30/05/2022		
Oxhide	Niu pi	Film	2005	1	30/05/2022		
Farewell My Concubine	Ba wang bie ji	Film	1993	2	31/05/2022		
Devils on the Doorstep	Guizi lai le	Film	2000	3	03/06/2022		
The Horse Thief	Dao ma zei	Film	1986	2	06/06/2022		
Raise the Red Lanthern	Da hong deng long gao gao gua	Film	1991	4	09/06/2022		
An Elephant Sitting Still	Da ziang xidi erzuo	Film	2018	2	09/06/2022		
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan		Film	2020	3	11/06/2022	brutally cringe	
Ready or Not		Film	2019	3	11/06/2022		
I Saw the Devil	Ang-ma-reul bo-at-da	Film	2010	4	16/06/2022		
Long Day's Journey into Night		Film	1962	2	16/06/2022		
Long Day's Journey into Night	Diqiu zuihou de yewan	Film	2018	2	18/06/2022	confusing, should watch it again deeply one day	
The Good the Bad the Weird	Joheunnom nabbeunnom isanghannom	Film	2008	3	23/06/2022		
The Chaser	Chugyeokja	Film	2008	4	24/06/2022	SUSPENSE FILM, amazing	
Poetry	Shi	Film	2010	4	24/06/2022		
Right Now, Wrong Then	Ji-geum-eun-mat-go-geu-ddae-neun-teul-li-da	Film	2015	2	24/06/2022		
House of Hummingbird	Beolsae	Film	2018	3	26/06/2022		
The Dictator		Film	2012	2	27/06/2022		
Overboard		Film	2018	2	27/06/2022		
Keanu		Film	2016	2	28/06/2022		
22 Jump Street		Film	2014	1	28/06/2022		
I Give It a Year		Film	2013	2	28/06/2022		
The House Bunny		Film	2008	2	28/06/2022		
The Ten Commandments		Film	1956	4	30/06/2022		
Alice		Film	2022	3	01/07/2022		
Doctor Zhivago		Film	1965	2	01/07/2022		
Prototype		Film	2022	1	03/07/2022		
Bull		Film	2021	2	08/07/2022		
The Most Reluctant Convert		Film	2021	2	09/07/2022		
Death Cast		Film	2021	1	13/07/2022		
Always Amore		TV Movie	2022	2	14/07/2022		
Choose or Die		Film	2022	1	14/07/2022		
Escape Through Africa		Film	2022	1	15/07/2022		
Room 203		Film	2022	2	16/07/2022		
Bachchhan Paandey		Film	2022	2	16/07/2022		
Greenland		Film	2020	2	17/07/2022		
Moonfall		Film	2022	3	17/07/2022		
ThanksKilling		Film	2009	3	17/08/2022		
ThanksKilling 3		Film	2012	3	18/07/2022		
Terrifier		Film	2016	1	19/07/2022		
Blacklight		Film	2022	2	20/07/2022		
The Outfit		Film	2022	4	22/07/2022		
The Omen		Film	1976	3	23/07/2022		
Gattaca		Film	1997	2	23/07/2022		
My Beautiful Laundrette		Film	1985	3	24/07/2022		
Get Santa		Film	2014	2	29/07/2022		
Run Lola Run	Lola rennt	Film	1998	2	30/07/2022		
Tenet		Film	2020	2	30/07/2022		
The Man Who Would Be King		Film	1975	2	31/07/2022		
The Walk		Film	2015	1	31/07/2022		
22 July		Film	2018	2	31/07/2022		
In Bruges		Film	2008	2	31/07/2022		
The Bourne Identity		Film	2002	3	01/08/2022		
The Bourne Supremacy		Film	2004	2	04/08/2022		
The Bourne Ultimatum		Film	2007	3	06/08/2022		
The Bourne Legacy		Film	2012	1	07/08/2022		
James Bourne		Film	2016	1	07/08/2022		
Rashomon	Rashômon	Film	1950	2	08/08/2022		
Fireworks	Hana-Bi	Film	1997	1	08/08/2022		
Departures	Okuribito	Film	2008	3	13/08/2022		
13 Assassings	Jûsan-nin no shikaku	Film	2010	1	13/08/2022		
Unforgiven	Yurusarezaru mono	Film	2013	1	14/08/2022		
The Face of Another	Tanin no kao	Film	1966	2	17/08/2022		
Confessions	Kohuhaku	Film	2010	1	18/08/2022		
Election	Hak se wooi	Film	2005	1	19/08/2022		
Election 2	Hak se wui: Yi woo wai kwai	Film	2006	1	19/08/2022		
City of Life and Death	Nanjing! Nanjing!	Film	2009	1	19/08/2022		
Stray Dogs	Jiao you	Film	2013	1	20/08/2022		
Red Sorghum	Hong gao liang	Film	1988	2	20/08/2022		
A Touch of Sin	Tian zhu ding	Film	2013	2	20/08/2022		
A Bittersweet Life	Dalkomhan insaeng	Film	2005	3	20/08/2022		
Secret Sunshine	Milyang	Film	2007	3	20/08/2022		
Final Destination		Film	2000	3	21/08/2022		
Final Destination 2		Film	2003	2	22/08/2022		
Final Destination 3		Film	2006	2	22/08/2022		
The Final Destination		Film	2009	3	23/08/2022		
Final Destination 5		Film	2011	3	24/08/2022		
The Hourglass Sanatorium	Sanatorium pod Klepsydrą	Film	1973	1	24/08/2022		
Shark Side of the Moon		Film	2022	1	28/08/2022		
DC League of Super-Pets		Film	2022	2	29/08/2022		
Temptation Under the Sun		TV Movie	2022	1	29/08/2022		
Meet the Parents		Film	2000	2	29/08/2022		
The Bad Guys		Film	2022	2	07/09/2022		
Girls to Buy	Dziewczyny z Dubaju	Film	2021	2	10/09/2022		
Firebird		Film	2021	2	10/09/2022		
Top Gun: Maverick		Film	2022	3	11/09/2022		
Sonic the Hedgehog		Film	2022	3	11/09/2022		
New York, I Love You		Film	2008	2	16/09/2022		
Fantastic Beasts: The Secrets of Dumbledore		Film	2022	1	17/09/2022		
Everything Everywhere All at Once		Film	2022	2	17/09/2022		
